ID,Parent Company,Acquired Company,Business,Acquisition Date
266,Amazon,Thinkbox Software,Unknown,2017-03-01
267,Amazon,Do.com,Unknown,2017-03-01
268,Amazon,Whole Foods Market,Unknown,2017-06-01
269,Amazon,Souq.com,Unknown,2017-07-01
270,Amazon,Graphiq,Unknown,2017-07-01
271,Amazon,GameSparks,Unknown,2017-07-01
272,Amazon,Wing.ae,Unknown,2017-09-01
273,Amazon,Body Labs,Unknown,2017-10-01
274,Amazon,Goo Technologies,Unknown,2017-11-01
275,Amazon,Dispatch,Unknown,2017-11-01
276,Amazon,Blink Home,Unknown,2017-12-01
277,Amazon,Sqrrl,Unknown,2018-01-01
278,Amazon,Ring,Unknown,2018-02-01
279,Amazon,PillPack,Unknown,2018-06-01
280,Amazon,Tapzo,Unknown,2018-08-01
281,Amazon,CloudEndure,Unknown,2019-01-01
282,Amazon,TSO Logic,Unknown,2019-01-01
283,Amazon,Eero,Unknown,2019-02-01
284,Amazon,Canvas Technology,Unknown,2019-04-01
285,Amazon,Sizmek Ad Server and Sizmek Dynamic Creative Optimization,Unknown,2019-05-01
286,Amazon,Bebo,Unknown,2019-06-01
287,Amazon,E8 Storage,Unknown,2019-07-01
288,Amazon,IGDB,Unknown,2019-09-01
289,Amazon,INLT,Unknown,2019-09-01
290,Amazon,Zoox,Unknown,2020-06-01
291,Amazon,Wondery,Unknown,2020-12-01
292,Amazon,Umbra 3D,Unknown,2021-01-01
293,Amazon,Dbbest,Unknown,2021-05-01
294,Amazon,Metro-Goldwyn-Mayer,Unknown,2021-05-01
295,Amazon,Art19,Unknown,2021-06-01
296,Amazon,Wickr,Unknown,2021-06-01
297,Hp,F.L. Moseley Company,Plotter,
298,Hp,Boonton Radio,Flight test instrumentation,
299,Hp,Sanborn Company,Medical equipment,
300,Hp,Neely Enterprises,Sales/manufacturer's representative,1962-11-01
301,Hp,F&M Scientific Corporation,Analytical chemistry,
302,Hp,"Data Systems, Inc",Information technology,
303,Hp,Hupe & Busch,Liquid Chromatography,1973-01-01
304,Hp,"Cericor, Inc.",CAD - Logic Design,1985-12-01
305,Hp,Eon Systems Inc.,Electronics,1989-01-01
306,Hp,Apollo Computer,Computer manufacturer,1989-05-01
307,Hp,Certain assets of Optotech Inc.,Disk drive,1989-11-01
308,Hp,Applied Optoelectronic Tech,Automatic test equipment,1991-01-01
309,Hp,Avantek,Transistor,1991-11-01
310,Hp,ABB CADE,Computer software,1991-12-01
311,Hp,Colorado Memory Systems,Magnetic tape,1992-09-01
312,Hp,French and German units of Leasametric,Company leasing,1992-09-01
313,Hp,Computer systems from Texas Instruments,Computer systems,1992-10-01
